|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| theme               | url                                                                         | image                                                                                         | lines                                                                                                                                                |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| HUMILITY            | /inspirational-quotes/7920-humility-is-not-thinking-less-of-yourself-its    | https://assets.passiton.com/quotes/quote_artwork/7920/medium/20220929_thursday_quote.jpg      | Humility is not thinking less of yourself, it's thinking of yourself less                                                                            |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| HUMILITY            | /inspirational-quotes/7039-true-humility-is-being-able-to-accept            | https://assets.passiton.com/quotes/quote_artwork/7039/medium/20220928_wednesday_quote.jpg     | True humility is being able to accept criticisms as graciously as we accept compliments                                                              |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| HUMILITY            | /inspirational-quotes/7922-pride-is-concerned-with-who-is-right-humility    | https://assets.passiton.com/quotes/quote_artwork/7922/medium/20220927_tuesday_quote.jpg       | Pride is concerned with who is right                                                                                                                 |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| HUMILITY            | /inspirational-quotes/8094-humility-is-the-solid-foundation-of-all-virtues  | https://assets.passiton.com/quotes/quote_artwork/8094/medium/20220926_monday_quote.jpg        | Humility is the solid foundation of all virtues                                                                                                      |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| ACCEPTANCE          | /inspirational-quotes/8361-acceptance-doesnt-mean-resignation-it-means      | https://assets.passiton.com/quotes/quote_artwork/8361/medium/20220923_friday_quote.jpg        | Acceptance doesn't mean resignation; it means understanding that something is what it is and that there's got to be a way through it                 |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
| ACCEPTANCE          | /inspirational-quotes/7803-i-think-tolerance-and-acceptance-and-love-is     | https://assets.passiton.com/quotes/quote_artwork/7803/medium/20220922_thursday_quote.jpg      | I think tolerance and acceptance and love is something that feeds every community                                                                    |
|---------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
